-5.0 -3239.0
-4.9 -2933.252
-4.8 -2651.234
-4.7 -2391.532
-4.6 -2152.787
-4.5 -1933.698
-4.4 -1733.018
-4.3 -1549.556
-4.2 -1382.171
-4.1 -1229.776
-4.0 -1091.333
-3.9 -965.855
-3.8 -852.4
-3.7 -750.075
-3.6 -658.032
-3.5 -575.469
-3.4 -501.624
-3.3 -435.779
-3.2 -377.256
-3.1 -325.419
-3.0 -279.667
-2.9 -239.437
-2.8 -204.205
-2.7 -173.478
-2.6 -146.798
-2.5 -123.74
-2.4 -103.909
-2.3 -86.941
-2.2 -72.502
-2.1 -60.282
-2.0 -50.0
-1.9 -41.4
-1.8 -34.25
-1.7 -28.341
-1.6 -23.483
-1.5 -19.51
-1.4 -16.274
-1.3 -13.644
-1.2 -11.507
-1.1 -9.765
-1.0 -8.333
-0.9 -7.143
-0.8 -6.136
-0.7 -5.263
-0.6 -4.488
-0.5 -3.781
-0.4 -3.12
-0.3 -2.487
-0.2 -1.872
-0.1 -1.267
-0.0 -0.667
0.1 -0.066
0.2 0.539
0.3 1.154
0.4 1.786
0.5 2.448
0.6 3.155
0.7 3.93
0.8 4.802
0.9 5.81
1.0 7.0
1.1 8.431
1.2 10.174
1.3 12.311
1.4 14.941
1.5 18.177
1.6 22.15
1.7 27.007
1.8 32.917
1.9 40.067
2.0 48.667
2.1 58.948
2.2 71.168
2.3 85.608
2.4 102.576
2.5 122.406
2.6 145.464
2.7 172.144
2.8 202.872
2.9 238.104
3.0 278.333
3.1 324.086
3.2 375.923
3.3 434.445
3.4 500.29
3.5 574.135
3.6 656.699
3.7 748.742
3.8 851.066
3.9 964.521
4.0 1090.0
4.1 1228.443
4.2 1380.838
4.3 1548.222
4.4 1731.685
4.5 1932.365
4.6 2151.454
4.7 2390.199
4.8 2649.901
4.9 2931.918
5.0 3237.667
